# 黑马样本库 - 原始数据
# 成功: T+5最高涨幅 >= 5%
# 失败: T+5最高涨幅 < 5%
# 字段: code,name,scan_date,launch_date,vol_ratio,pre5_chg,pre15_chg,rise7_days,big_entity,small_entity,ma5_rising,t5_max,success
# ===== 成功案例 =====
000657.SZ,中钨高新,20260126,20260122,1.19,13.5,48.6,3,6,3,True,16.4,True
603050.SH,科林电气,20260126,20260123,0.94,5.3,9.7,0,0,11,True,7.9,True
003031.SZ,中瓷电子,20260127,20260126,0.74,-1.2,7.2,2,4,4,True,10.0,True
601702.SH,华峰铝业,20260128,20260123,2.01,5.3,2.5,0,0,10,True,12.9,True
000630.SZ,铜陵有色,20260128,20260123,1.7,2.0,3.8,0,0,7,True,21.7,True
688205.SH,德科立,20260128,20260107,1.96,-3.3,-15.2,0,3,7,True,-5.3,False
001360.SZ,南矿集团,20260128,20260121,1.45,-5.8,5.5,1,1,6,True,13.1,True
301171.SZ,易点天下,20260129,20251231,2.96,7.4,-0.7,0,0,8,True,30.1,True
601208.SH,东材科技,20260130,20260130,1.27,-3.6,-6.2,1,3,8,True,-1.8,False
688313.SH,仕佳光子,20260130,20260130,1.92,7.1,-2.6,1,3,6,True,-1.3,False
